lead_id,tactic,enquiry_month,status,closed_date,customer_id,region
004133ef-117c-48d1-b419-873ebb24409f,Tactic1,2023-05-01,Closed-won,2023-05-15,8d693729-788f-4c6c-9cef-a2598d4339df,US
8abec9c8-f71d-45aa-9c6c-86d9e35e7912,Tactic5,2023-08-01,Closed-won,2023-08-07,8f59cc59-bb86-4ecc-b4ef-d8fa4a336afc,UK
ca927c3d-664d-40f8-a834-4ce2fa72ad9d,Tactic1,2023-09-01,Open,,,US
40755149-fd88-439a-8572-e3a09803cffd,Tactic2,2023-03-01,Closed-won,2023-03-21,4da38e83-2a47-4a2c-9de1-d24bb9f3343d,France
60d5e771-b38c-4e0a-a35f-a36460901760,Tactic2,2023-10-01,Open,,,Canada
8c86e9fd-78cb-4b5a-a4a4-e6c22f632991,Tactic2,2023-12-01,Open,,,US
b9415a7a-169c-4e28-b592-fba6d011eae4,Tactic3,2023-12-01,Closed-won,2023-12-11,f01d1306-e0a7-4c62-b75a-da6a0321102f,US
b8fce9c9-6075-4573-9aa4-26da74be92ca,Tactic4,2023-11-01,Closed-won,2023-11-27,96e03bef-cb49-47ea-bcce-6bbf9ed83330,Canada
4e86e587-397e-4967-ba36-523b94df9a35,Tactic2,2023-09-01,Closed-won,2023-09-26,0a632f3b-d40b-40c0-8d50-04b3e430b9a6,UK
7e44759a-a80b-4335-be25-f7c9abcb9036,Tactic1,2023-06-01,Closed-won,2023-06-12,5c52130f-c986-4bd1-9f70-9b9f05714302,US
aeafa904-9749-43b8-ab37-3b85be49922a,Tactic1,2023-12-01,Closed-won,2023-12-17,d98c356f-f9c7-4614-862b-967deee8ef56,Canada
e977cb5b-2289-4354-af2e-66f47ed5e4ea,Tactic3,2023-05-01,Closed-won,2023-05-13,42f05dfc-87dc-4042-bfb7-7ce2e4b8ab08,Canada
d2f8a774-9a3f-4b5d-9fea-e4fe817a6d27,Tactic3,2023-12-01,Open,,,US
