lead_id,tactic,enquiry_month,status,closed_date,customer_id,region
2fa39d03-899e-4f17-b985-8c49661da23d,Tactic1,2023-02-01,Open,,,UK
8ad3d2f3-879d-4039-ac7f-3bbad4dd1a23,Tactic3,2023-08-01,Closed-won,2023-08-20,bbdcf918-1b6d-4b7b-91b9-340186cc5dba,France
9f3033ca-c061-4857-9641-6877c2eab6af,Tactic5,2023-04-01,Open,,,US
ddcdf7fd-67c8-491f-98e3-9db2bd90bd61,Tactic4,2023-05-01,Closed-won,2023-05-12,b6d7ce30-7993-4b95-930f-e5053199ce88,UK
c248b049-d2e3-4bbc-8896-5a6066d630c6,Tactic2,2023-08-01,Open,,,Canada
ffbba861-92b9-478d-83b9-18227e4914bc,Tactic5,2023-02-01,Open,,,US
99b1fa94-f6d7-4376-a326-afc616c91c44,Tactic1,2023-06-01,Closed-won,2023-06-18,9095b80a-457f-4d30-9b9f-4ef5bb0834a1,Canada
df44e28f-e1bb-4602-986f-b8720ad61b8f,Tactic4,2023-08-01,Closed-won,2023-08-27,7dbe7764-12eb-442a-bf12-832770952ece,Canada
51b95447-936d-4ba4-a207-83df9675f9b6,Tactic3,2023-02-01,Open,,,UK
6ad9ea23-6d96-432e-adf1-8cf74efdb53e,Tactic2,2023-11-01,Open,,,US
89bbc460-d698-417d-91a6-46bead8b10ca,Tactic5,2023-01-01,Closed-won,2023-01-16,57e8f00e-7346-4373-8479-6a9b69c8b1bf,UK
099ca9ae-de9a-483e-a0fd-2bc66af6ead4,Tactic2,2023-09-01,Open,,,US
7a47e92c-a2d0-4d38-876f-3bb84d8c5501,Tactic5,2023-07-01,Open,,,France
2f555118-67b6-44ce-b191-bd9666130418,Tactic1,2023-12-01,Closed-won,2023-12-11,528b070a-aa58-488c-abff-e57fb9fab3a7,Canada
b60b0bae-3d43-4be4-94c6-b61195bcbfb3,Tactic3,2023-03-01,Open,,,Canada
80993bba-0ed9-43da-b8bd-c688761cfa47,Tactic2,2023-08-01,Closed-won,2023-08-16,a61be461-d78f-4b5a-87a7-1b56a9097055,US
92ea3065-aad5-4b02-8084-fa4ae34c3e60,Tactic2,2023-10-01,Closed-won,2023-10-06,f76d1cb3-cb6d-4c73-9aaa-e2e2d229bc56,US
99ddf57e-39c2-4abf-ab3b-12fa91cc274f,Tactic3,2023-12-01,Open,,,US
0dcf9d58-39cd-425a-93a3-cda77509a308,Tactic2,2023-11-01,Open,,,UK
af90f507-2e95-40ce-beba-bfe395c4cf22,Tactic5,2023-07-01,Open,,,Canada
b0657886-1859-499c-bff8-000374584fde,Tactic1,2023-04-01,Closed-won,2023-04-10,409f466b-f731-4dd7-aecc-2c03181d1454,US
1129f7ca-9dfd-4c06-b3cc-ec28ff5b6d29,Tactic4,2023-09-01,Open,,,UK
f7d0ca32-1b2a-41c6-8182-e0c8d120a165,Tactic3,2023-08-01,Closed-won,2023-08-25,5d59f743-d8bd-4f9e-8a9c-b1b7bbe434e6,US
be16dba3-52ba-4268-89c6-3fb0112ccd49,Tactic1,2023-07-01,Closed-won,2023-07-28,cfd5880a-ad6e-4428-a54e-14cecec5242c,Canada
81a8a07a-b46b-481b-8b54-747b1e28c34c,Tactic3,2023-08-01,Open,,,US
aca674b2-1d2d-41ce-9b52-8a395adb607e,Tactic3,2023-09-01,Open,,,Canada
3616ee24-b93f-428a-85d9-8a55f73146b6,Tactic4,2023-08-01,Closed-won,2023-08-22,b04df6cf-7a7a-4d91-a7ea-149f070e5a6c,US
285d6341-2019-483b-b7f5-752b623ee27e,Tactic1,2023-07-01,Open,,,Canada
8ce6f199-1633-46cb-9900-e1d19bf58e1a,Tactic5,2023-12-01,Open,,,Canada
64a32966-78c3-453b-9af2-2aa37917a3fd,Tactic1,2023-09-01,Closed-won,2023-09-09,12a4921d-e7ca-4a2b-a3da-205bfd98f3a5,Canada
95f1553c-9740-499d-bb68-7644a7b92ea4,Tactic3,2023-11-01,Open,,,Canada
d74ff6f5-8c24-4c2b-99e0-481057cbabe5,Tactic5,2023-03-01,Open,,,France
b16f4f1a-dd0e-4c1f-abee-ba2a5c55fa37,Tactic4,2023-05-01,Closed-won,2023-05-09,f355a332-1ba8-4506-97c9-4096a5ee737d,UK
d81f7682-8d15-45b4-9e58-ce8b601adbf6,Tactic4,2023-08-01,Open,,,UK
876b4968-c4ff-4f62-ace6-41d4f1eb8ac3,Tactic5,2023-09-01,Closed-won,2023-09-07,28a70b60-5e9c-4d81-8f18-bb0f237642d0,US
68f83ac9-71ac-41e9-8102-b0e386cdfa68,Tactic1,2023-10-01,Open,,,UK
12f5f44a-063e-44ba-8740-4bedc2901d16,Tactic4,2023-04-01,Closed-won,2023-04-26,de853283-9938-4971-8768-60fe91fe3bbc,UK
f590c505-422e-46fe-b35a-723cd8f32b4d,Tactic4,2023-11-01,Open,,,US
1c7b58db-8645-43f6-b55a-6b028d65767c,Tactic5,2023-12-01,Open,,,US
59b88147-cbc9-4568-95cc-c619516c5e0d,Tactic4,2023-12-01,Closed-won,2023-12-26,7d34e961-1ca4-4400-8487-8407e83e5586,France
c8b8ab6e-3df5-4129-b3ac-5f049df258fd,Tactic2,2023-03-01,Open,,,France
b6322eaa-2596-462c-a174-8fd335bbdea9,Tactic3,2023-04-01,Open,,,UK
f592055c-e577-4b9f-bb8d-57c908ac5d5f,Tactic1,2023-09-01,Open,,,US
32ca3b8b-2f7e-47ed-bfd3-2f4003bfa232,Tactic5,2023-07-01,Closed-won,2023-07-24,cb06476b-5b89-44ae-ae28-e4e1d3ef5e12,Canada
d013673b-ae0a-428b-b0a8-2e494f82f453,Tactic4,2023-06-01,Closed-won,2023-06-21,2943da5f-cd6a-4eec-b311-c982c63e5ccb,UK
c646f0b3-1fcd-4ea5-bc3e-813d4541a7d5,Tactic5,2023-12-01,Open,,,France
a19509ec-ac1a-4645-a79a-74bde3200e21,Tactic4,2023-04-01,Open,,,UK
780caa04-461f-4685-8ec2-999e97071fca,Tactic1,2023-11-01,Closed-won,2023-11-26,088ba35e-bd45-4636-86b5-9c517423a82a,US
97ae70f3-1071-4aec-869f-7cde013cf18e,Tactic2,2023-10-01,Closed-won,2023-10-05,ed9c8991-84aa-45a6-8697-e6935c39dfb3,France
3a484ad9-67a6-4295-994e-4397f64b25b5,Tactic3,2023-04-01,Open,,,Canada
aa97145f-60a2-4c6a-8e66-a260df8c7f82,Tactic1,2023-04-01,Closed-won,2023-04-03,40396a59-bb9b-4f22-bbf2-1fe64174566b,US
5f716480-49ed-4b30-bea1-a90d5355e6ca,Tactic3,2023-07-01,Open,,,Canada
d7fb389d-d49a-42dc-bfad-0e55d80d59b7,Tactic4,2023-10-01,Open,,,UK
728d1009-40e2-4ec1-af86-be28f794b699,Tactic3,2023-08-01,Closed-won,2023-08-31,6a5ce95b-3d66-4d68-b6cb-fb907cf8066c,Canada
b7c4bc35-3455-447e-94a9-da6348464525,Tactic2,2023-05-01,Closed-won,2023-05-09,7a3a08df-2403-424a-83d4-dafcb1b2c47d,Canada
2d6f2e92-ab32-4736-8915-2587b436797f,Tactic4,2023-12-01,Open,,,France
1cfaad21-1d3c-41bc-9861-750f70eda970,Tactic2,2023-08-01,Closed-won,2023-08-06,e011d509-24fe-4c7f-acba-bf50642d2a93,France
9d246af0-aa5a-4678-88b9-f5ee265f012a,Tactic1,2023-10-01,Closed-won,2023-10-14,04086050-bf75-4105-99a7-1456d6ce67a9,US
