spend_id,marketing_tactic,spend_month,region,amount
ebbb2f4c-6dfa-401b-b330-b27070cb0174,Tactic5,2023-08-01,Canada,5457.58
2aee2e42-55d6-4550-8db5-c556ec92e5b6,Tactic4,2023-11-01,UK,9717.41
3d74f245-f205-4a68-a104-96e2240a4922,Tactic2,2023-03-01,France,9730.5
372e9b38-53ed-4064-ae01-8101424f5046,Tactic5,2023-10-01,UK,5711.26
2d3bd42e-db00-4c50-ba7d-945055d41644,Tactic3,2023-11-01,Canada,6098.93
bf3f9fac-2c55-4cbb-aa23-9470ea6e8d01,Tactic4,2023-11-01,UK,4538.49
cf66a67a-4f05-4db9-acf4-90669e7cc558,Tactic4,2023-10-01,US,8536.6
271c210f-7bd7-4146-8f51-90e07af9ffde,Tactic2,2023-03-01,US,2468.89
29a92eee-3478-41ef-965b-f6db1331d26d,Tactic5,2023-04-01,US,2204.82
1a9fe737-8ac7-4f5c-ba74-7d374b6ca878,Tactic1,2023-03-01,France,5883.59
8b56c602-6d52-461b-b74e-2a71a34b63a9,Tactic4,2023-11-01,France,8636.7
38281dc9-c7cc-4786-977d-0815600be8c0,Tactic4,2023-04-01,US,5325.01
f07f052d-254b-4a35-b0e8-980eaea67213,Tactic3,2023-05-01,France,8155.42
749fb997-3742-45b0-bee8-9fa42fd3508a,Tactic3,2023-03-01,US,2679.73
0eabee41-4b73-45a7-8703-2c72145148fe,Tactic4,2023-10-01,UK,6675.73
863023b3-6294-4ed4-8423-ac95a779b20e,Tactic2,2023-06-01,UK,6882.25
93c762e2-7c5b-4509-bf4e-39da17aee4b6,Tactic1,2023-07-01,UK,9241.94
e79b6f28-e52d-43f6-9fce-2aa41e2b1457,Tactic2,2023-11-01,UK,9734.17
5443f582-0f7e-4922-9659-93a6b8457fcf,Tactic5,2023-02-01,France,8264.82
aecc70e6-12e7-4012-8901-3526c09db15c,Tactic3,2023-08-01,France,4544.11
